기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,avg_price,gu,lat,lon
20244,A,골목상권,3110136,경수초등학교,CS100010,커피-음료,404502556,43816,9231.845809749862,성동구,37.540574,127.059959
20244,A,골목상권,3110136,경수초등학교,CS300001,슈퍼마켓,127620577,17227,7408.171881349045,성동구,37.540574,127.059959
20244,A,골목상권,3110136,경수초등학교,CS300002,편의점,143121873,26385,5424.365093803297,성동구,37.540574,127.059959
20244,A,골목상권,3110137,성수초등학교,CS100001,한식음식점,3270182597,156553,20888.661328751285,성동구,37.546168,127.062453
20244,A,골목상권,3110137,성수초등학교,CS100010,커피-음료,1377502195,180346,7638.107831612567,성동구,37.546168,127.062453
20244,A,골목상권,3110137,성수초등학교,CS300001,슈퍼마켓,101111371,17571,5754.446019008594,성동구,37.546168,127.062453
20244,A,골목상권,3110137,성수초등학교,CS300002,편의점,2676852085,452235,5919.161685849172,성동구,37.546168,127.062453
20244,A,골목상권,3110138,송정체육공원,CS100001,한식음식점,295762790,11404,25935.004384426516,성동구,37.550787,127.067176
20244,A,골목상권,3110138,송정체육공원,CS100010,커피-음료,83021909,18366,4520.413209190896,성동구,37.550787,127.067176
20244,A,골목상권,3110138,송정체육공원,CS300001,슈퍼마켓,936614246,82482,11355.377488421716,성동구,37.550787,127.067176
20244,A,골목상권,3110139,자양4동주민센터,CS100001,한식음식점,771298481,18673,41305.54710009104,광진구,37.535121,127.063473
20244,A,골목상권,3110139,자양4동주민센터,CS300001,슈퍼마켓,66667180,8325,8008.06966966967,광진구,37.535121,127.063473
20244,A,골목상권,3110139,자양4동주민센터,CS300002,편의점,659344020,95055,6936.44753037715,광진구,37.535121,127.063473
20244,A,골목상권,3110140,건대입구역 6번,CS100001,한식음식점,1584040005,24414,64882.44470385844,광진구,37.538598,127.065705
20244,A,골목상권,3110140,건대입구역 6번,CS100010,커피-음료,70320821,3871,18166.060707827433,광진구,37.538598,127.065705
20244,A,골목상권,3110140,건대입구역 6번,CS300001,슈퍼마켓,48266633,4473,10790.662418958194,광진구,37.538598,127.065705
20244,A,골목상권,3110140,건대입구역 6번,CS300002,편의점,1501819424,234286,6410.19704122312,광진구,37.538598,127.065705
20244,A,골목상권,3110141,건대입구역 1번,CS100001,한식음식점,1249801339,27988,44654.899921394885,광진구,37.543147,127.066433
20244,A,골목상권,3110141,건대입구역 1번,CS100010,커피-음료,49843515,6076,8203.343482554312,광진구,37.543147,127.066433
20244,A,골목상권,3110141,건대입구역 1번,CS300002,편의점,466581377,73427,6354.3570757350835,광진구,37.543147,127.066433
20244,A,골목상권,3110142,화양사거리,CS100001,한식음식점,2220684045,45931,48348.262502449325,광진구,37.5463,127.068213
20244,A,골목상권,3110142,화양사거리,CS100010,커피-음료,58869708,6396,9204.144465290807,광진구,37.5463,127.068213
20244,A,골목상권,3110142,화양사거리,CS300002,편의점,1675721850,235305,7121.488493657168,광진구,37.5463,127.068213
20244,A,골목상권,3110143,뚝섬유원지역 1번,CS100001,한식음식점,281078828,7585,37057.19551746869,광진구,37.533875,127.068586
20244,A,골목상권,3110144,어린이대공원역 4번,CS100001,한식음식점,334287497,11888,28119.742345222072,광진구,37.546171,127.071913
20244,A,골목상권,3110144,어린이대공원역 4번,CS100010,커피-음료,11806085,2026,5827.287759131294,광진구,37.546171,127.071913
20244,A,골목상권,3110144,어린이대공원역 4번,CS300002,편의점,105894951,17562,6029.777417150666,광진구,37.546171,127.071913
20244,A,골목상권,3110145,장안초등학교,CS100010,커피-음료,28739406,2656,10820.559487951807,광진구,37.548937,127.072775
20244,A,골목상권,3110145,장안초등학교,CS300002,편의점,361839195,65600,5515.841387195122,광진구,37.548937,127.072775
20244,A,골목상권,3110146,신자초등학교,CS100001,한식음식점,1241557005,33732,36806.504357879756,광진구,37.53152,127.073245
20244,A,골목상권,3110146,신자초등학교,CS100010,커피-음료,26589886,3831,6940.71678412947,광진구,37.53152,127.073245
20244,A,골목상권,3110146,신자초등학교,CS300001,슈퍼마켓,138928197,14622,9501.312884694296,광진구,37.53152,127.073245
20244,A,골목상권,3110147,능동우편취급국,CS100001,한식음식점,2004690695,57980,34575.55527768196,광진구,37.55618,127.073778
20244,A,골목상권,3110147,능동우편취급국,CS100010,커피-음료,36285151,8379,4330.487050960735,광진구,37.55618,127.073778
20244,A,골목상권,3110147,능동우편취급국,CS300001,슈퍼마켓,485859556,45497,10678.936105677298,광진구,37.55618,127.073778
20244,A,골목상권,3110147,능동우편취급국,CS300002,편의점,554553579,88891,6238.57959748456,광진구,37.55618,127.073778
